iter	Passed	Remaining
273	867	2298
274	869	2293
275	872	2287
276	874	2282
277	877	2278
278	880	2274
279	882	2269
280	885	2264
281	888	2263
282	891	2259
283	895	2256
284	899	2255
285	902	2253
286	906	2252
287	909	2247
288	912	2244
289	915	2240
290	918	2238
291	922	2236
292	925	2233
293	928	2230
294	931	2227
295	934	2223
296	937	2219
297	940	2215
298	944	2214
299	948	2212
300	951	2210
301	954	2207
302	958	2203
303	961	2201
304	964	2196
305	967	2194
306	970	2191
307	973	2187
308	978	2187
309	982	2187
310	986	2185
311	989	2182
312	992	2178
313	995	2173
314	998	2170
315	1001	2168
316	1004	2164
317	1007	2161
318	1010	2156
319	1013	2153
320	1016	2150
321	1020	2147
322	1023	2145
323	1027	2143
324	1032	2144
325	1035	2140
326	1039	2140
327	1044	2140
328	1048	2138
329	1053	2138
330	1056	2136
331	1060	2134
332	1064	2132
333	1069	2132
334	1073	2130
335	1081	2137
336	1090	2144
337	1095	2144
338	1099	2143
339	1103	2141
340	1108	2141
341	1111	2138
342	1115	2136
343	1118	2133
344	1125	2136
345	1130	2136
346	1134	2135
347	1140	2136
348	1146	2138
349	1150	2136
350	1155	2137
351	1159	2134
352	1163	2133
353	1167	2131
354	1174	2133
355	1180	2136
356	1187	2138
357	1191	2136
358	1196	2136
359	1199	2133
360	1204	2131
361	1208	2129
362	1214	2131
363	1219	2131
364	1223	2127
365	1226	2124
366	1229	2120
367	1233	2118
368	1238	2117
369	1240	2112
370	1244	2109
371	1247	2105
372	1251	2102
373	1255	2101
374	1259	2099
375	1268	2105
376	1274	2105
377	1279	2104
378	1284	2104
379	1290	2105
380	1299	2111
381	1303	2109
382	1307	2106
383	1314	2109
384	1320	2108
385	1325	2108
386	1340	2122
387	1349	2128
388	1356	2129
389	1384	2165
390	1392	2169
391	1401	2174
392	1411	2179
393	1418	2182
394	1426	2185
395	1432	2184
396	1439	2186
397	1446	2187
398	1451	2186
399	1454	2182
400	1461	2183
401	1478	2199
402	1491	2209
403	1499	2212
404	1504	2210
405	1524	2229
406	1529	2228
407	1536	2229
408	1544	2231
409	1550	2231
410	1557	2231
411	1566	2236
412	1572	2234
413	1576	2232
414	1595	2248
415	1603	2250
416	1611	2252
417	1617	2252
418	1627	2256
419	1643	2269
420	1650	2269
421	1654	2266
422	1663	2268
423	1667	2265
424	1673	2264
425	1683	2268
426	1692	2270
427	1701	2273
428	1711	2277
429	1717	2277
430	1723	2275
431	1727	2271
432	1730	2265
433	1732	2259
434	1737	2256
435	1742	2253
436	1745	2249
437	1749	2245
438	1753	2241
439	1758	2238
440	1761	2233
441	1765	2228
442	1768	2223
443	1772	2219
444	1776	2215
445	1780	2211
446	1784	2207
447	1787	2202
448	1790	2197
449	1794	2193
450	1797	2188
451	1801	2184
452	1805	2179
453	1811	2178
454	1816	2175
455	1820	2171
456	1823	2167
457	1827	2162
458	1829	2156
459	1832	2151
460	1834	2145
461	1838	2140
462	1841	2135
463	1843	2130
464	1847	2125
465	1851	2121
466	1854	2116
467	1857	2111
468	1859	2105
469	1862	2100
470	1865	2095
471	1868	2090
472	1871	2085
473	1875	2081
474	1878	2076
475	1882	2072
476	1885	2066
477	1888	2062
478	1891	2057
479	1894	2051
480	1896	2046
481	1899	2041
482	1903	2037
483	1907	2034
484	1911	2029
485	1915	2025
486	1918	2021
487	1922	2016
488	1925	2012
489	1929	2007
490	1932	2002
491	1935	1998
492	1939	1994
493	1943	1990
494	1946	1986
495	1950	1982
496	1954	1978
497	1962	1978
498	1967	1975
499	1972	1972
500	1977	1969
501	1980	1965
502	1983	1960
503	1989	1958
504	1993	1953
505	1997	1949
506	2000	1945
507	2003	1940
508	2006	1935
509	2009	1930
510	2011	1925
511	2015	1921
512	2018	1916
513	2022	1912
514	2025	1907
515	2028	1902
516	2031	1897
517	2034	1892
518	2037	1887
519	2040	1883
520	2044	1879
521	2047	1875
522	2051	1871
523	2055	1867
524	2058	1862
525	2061	1857
526	2064	1853
527	2067	1847
528	2069	1842
529	2072	1837
530	2075	1833
531	2080	1829
532	2082	1824
533	2085	1819
534	2088	1815
535	2091	1810
536	2095	1806
537	2098	1802
538	2101	1797
539	2104	1792
540	2107	1788
541	2110	1783
542	2112	1778
543	2115	1773
544	2118	1768
545	2121	1763
546	2125	1759
547	2128	1755
548	2130	1750
549	2132	1745
550	2135	1740
551	2139	1736
552	2142	1732
553	2145	1727
554	2148	1722
555	2152	1718
556	2155	1714
557	2157	1708
558	2161	1705
559	2164	1700
560	2166	1695
561	2169	1691
562	2173	1687
563	2176	1682
564	2179	1677
565	2181	1673
566	2184	1668
567	2187	1664
568	2190	1659
569	2194	1655
570	2202	1654
571	2208	1652
572	2214	1650
573	2228	1654
574	2233	1650
575	2238	1647
576	2241	1643
577	2244	1638
578	2250	1636
579	2254	1632
580	2256	1627
581	2259	1622
582	2262	1618
583	2264	1613
584	2267	1608
585	2270	1603
586	2273	1599
587	2275	1594
588	2277	1589
589	2280	1584
590	2282	1579
591	2285	1574
592	2288	1570
593	2290	1565
594	2292	1560
595	2295	1555
596	2297	1550
597	2300	1546
598	2302	1541
599	2304	1536
600	2307	1531
601	2308	1526
602	2311	1521
603	2313	1516
604	2316	1512
605	2318	1507
606	2321	1502
607	2323	1498
608	2327	1494
609	2329	1489
610	2331	1484
611	2334	1479
612	2337	1475
613	2339	1470
614	2341	1465
615	2344	1461
616	2346	1456
617	2348	1451
618	2351	1447
619	2353	1442
620	2356	1438
621	2359	1433
622	2361	1429
623	2364	1424
624	2367	1420
625	2369	1415
626	2372	1411
627	2374	1406
628	2376	1401
629	2379	1397
630	2382	1393
631	2385	1388
632	2387	1384
633	2390	1379
634	2393	1375
635	2395	1371
636	2398	1366
637	2401	1362
638	2404	1358
639	2407	1354
640	2410	1349
641	2412	1345
642	2415	1340
643	2417	1336
644	2421	1332
645	2425	1329
646	2430	1325
647	2433	1321
648	2436	1317
649	2439	1313
650	2442	1309
651	2445	1305
652	2448	1301
653	2451	1296
654	2454	1292
655	2456	1288
656	2459	1284
657	2463	1280
658	2465	1275
659	2469	1271
660	2472	1267
661	2475	1263
662	2478	1259
663	2481	1255
664	2484	1251
665	2486	1247
666	2489	1242
667	2492	1238
668	2494	1234
669	2498	1230
670	2501	1226
671	2503	1222
672	2506	1217
673	2509	1213
674	2511	1209
675	2514	1205
676	2517	1201
677	2519	1196
678	2522	1192
679	2525	1188
680	2527	1184
681	2531	1180
682	2533	1175
683	2536	1171
684	2539	1167
685	2541	1163
686	2544	1159
687	2546	1155
688	2549	1150
689	2552	1146
690	2555	1142
691	2558	1138
692	2561	1134
693	2563	1130
694	2567	1126
695	2569	1122
696	2572	1118
697	2575	1114
698	2578	1110
699	2581	1106
700	2586	1103
701	2588	1098
702	2592	1095
703	2595	1091
704	2598	1087
705	2601	1083
706	2604	1079
707	2606	1075
708	2609	1071
709	2612	1067
710	2615	1063
711	2618	1059
712	2621	1055
713	2624	1051
714	2626	1046
715	2628	1042
716	2630	1038
717	2633	1034
718	2636	1030
719	2638	1026
720	2640	1021
721	2643	1017
722	2646	1013
723	2648	1009
724	2650	1005
725	2653	1001
726	2656	997
727	2659	993
728	2661	989
729	2663	985
730	2666	981
731	2668	976
732	2670	972
733	2673	968
734	2676	964
735	2678	960
736	2680	956
737	2683	952
738	2685	948
739	2687	944
740	2690	940
741	2692	936
742	2694	932
743	2696	927
744	2698	923
745	2700	919
746	2703	915
747	2705	911
748	2708	907
749	2710	903
750	2712	899
751	2715	895
752	2717	891
753	2719	887
754	2722	883
755	2724	879
756	2726	875
757	2729	871
758	2731	867
759	2733	863
760	2736	859
761	2739	855
762	2741	851
763	2743	847
764	2745	843
765	2748	839
766	2750	835
767	2752	831
768	2755	827
769	2758	823
770	2760	819
771	2763	816
772	2766	812
773	2768	808
774	2771	804
775	2774	800
776	2778	797
777	2782	793
778	2785	790
779	2788	786
780	2791	782
781	2794	778
782	2796	775
783	2799	771
784	2801	767
785	2804	763
786	2807	759
787	2810	756
788	2812	752
789	2815	748
790	2818	744
791	2821	741
792	2824	737
793	2827	733
794	2829	729
795	2832	725
796	2834	721
797	2837	718
798	2840	714
799	2844	711
800	2846	707
801	2849	703
802	2853	700
803	2856	696
804	2859	692
805	2862	688
806	2864	685
807	2867	681
808	2870	677
809	2872	673
810	2876	670
811	2878	666
812	2881	662
813	2884	659
814	2887	655
815	2890	651
816	2892	647
817	2896	644
818	2899	640
819	2902	637
820	2905	633
821	2907	629
822	2911	626
823	2913	622
824	2916	618
825	2919	615
826	2922	611
827	2926	607
828	2929	604
829	2932	600
830	2935	596
831	2938	593
832	2940	589
833	2943	585
834	2947	582
835	2949	578
836	2952	575
837	2955	571
838	2958	567
839	2960	563
840	2963	560
841	2966	556
842	2969	552
843	2971	549
844	2975	545
845	2978	542
846	2981	538
847	2984	534
848	2987	531
849	2990	527
850	2993	524
851	2995	520
852	2998	516
853	3000	513
854	3004	509
855	3007	505
856	3010	502
857	3014	498
858	3017	495
859	3019	491
860	3021	487
861	3024	484
862	3027	480
863	3029	476
864	3032	473
865	3034	469
866	3037	465
867	3039	462
868	3042	458
869	3045	455
870	3048	451
871	3050	447
872	3053	444
873	3055	440
874	3058	436
875	3060	433
876	3063	429
877	3065	425
878	3067	422
879	3070	418
880	3072	415
881	3075	411
882	3078	407
883	3081	404
884	3083	400
885	3085	397
886	3087	393
887	3090	389
888	3092	386
889	3095	382
890	3098	379
891	3101	375
892	3103	371
893	3105	368
894	3108	364
895	3111	361
896	3113	357
897	3115	353
898	3117	350
899	3120	346
900	3121	343
901	3125	339
902	3127	335
903	3130	332
904	3132	328
905	3135	325
906	3138	321
907	3141	318
908	3145	314
909	3149	311
910	3152	307
911	3155	304
912	3158	300
913	3162	297
914	3165	294
915	3169	290
916	3174	287
917	3176	283
918	3179	280
919	3182	276
920	3185	273
921	3188	269
922	3190	266
923	3192	262
924	3195	259
925	3198	255
926	3202	252
927	3205	248
928	3208	245
929	3211	241
930	3214	238
931	3216	234
932	3220	231
933	3223	227
934	3227	224
935	3230	220
936	3233	217
937	3236	213
938	3239	210
939	3242	206
940	3245	203
941	3248	200
942	3251	196
943	3254	193
944	3257	189
945	3260	186
946	3264	182
947	3267	179
948	3270	175
949	3273	172
950	3276	168
951	3279	165
952	3282	161
953	3284	158
954	3287	154
955	3290	151
956	3333	149
957	3346	146
958	3349	143
959	3353	139
960	3356	136
961	3361	132
962	3365	129
963	3369	125
964	3374	122
965	3379	118
966	3383	115
967	3386	111
968	3391	108
969	3395	105
970	3399	101
971	3403	98
972	3405	94
973	3409	91
974	3411	87
975	3413	83
976	3416	80
977	3421	76
978	3426	73
979	3429	69
980	3434	66
981	3443	63
982	3448	59
983	3456	56
984	3459	52
985	3463	49
986	3467	45
987	3470	42
988	3474	38
989	3480	35
990	3484	31
991	3487	28
992	3489	24
993	3491	21
994	3494	17
995	3496	14
996	3499	10
997	3502	7
998	3505	3
999	3507	0
